# 发车日志数据源 —— 唯一需要人工维护的文件。
#
# 改完这个文件后跑：  python3 tools/build-departures.py
# 它会重写三语日志页的条目区块，并打印当周的 Telegram 波斯语帖子文本。
#
# 以 # 开头的行和空行会被忽略。字段用 TAB 分隔（不是空格）。
#
# 字段说明
#   date         发车日期 YYYY-MM-DD
#   hub          集货仓：yiwu | shenzhen | guangzhou | shanghai
#   cargo        货类：machinery | electronics | auto-parts | building-materials
#                      | solar | lithium | chemicals | vehicles | general
#   line         出境线：wuqia | khorgos
#   dest         目的地：tehran | mashhad          ← 只有这两个可以发布（§3.4）
#   mode         车型：direct | transship          （direct = 布哈拉一次换装）
#   status       状态：departed | arrived
#   days         实际耗时（天，自乌恰口岸起算）。status=departed 时填 -
#   photo        img/log/ 下的文件名，没有就填 -
#
# 硬性校验（tools/build-departures.py 会拒绝生成）：
#   · dest 只允许 tehran / mashhad —— 萨拉赫斯、洛特法巴德是内部事实，不得发布
#   · line=khorgos 时不输出任何天数 —— 该线无公开时效口径
#   · days 超出已公布区间会告警，需你确认后加 !force
#   · 任何情况下都不输出总量、台数、增长率 —— §3.8 只允许量级表述
#
# date	hub	cargo	line	dest	mode	status	days	photo
2026-09-09	yiwu	general	wuqia	tehran	direct	departed	-	-
2026-09-02	yiwu	vehicles	wuqia	tehran	direct	departed	-	-
2026-08-31	yiwu	machinery	wuqia	tehran	direct	departed	-	2026-08-31-curtainsider-crated-machinery.jpg
